"","x"
"T0_A10.S73","T0_other"
"T0_A11.S81","T0_other"
"T0_A12.S89","T0_other"
"T0_A1.S1","T0_other"
"T0_A2.S9","T0_other"
"T0_A3.S17","T0_other"
"T0_A4.S25","T0_other"
"T0_A5.S33","T0_SMC"
"T0_A6.S41","T0_invasion"
"T0_A7.S49","T0_invasion"
"T0_A8.S57","T0_other"
"T0_A9.S65","T0_invasion"
"T0_B10.S74","T0_other"
"T0_B11.S82","T0_other"
"T0_B12.S90","T0_invasion"
"T0_B1.S2","T0_other"
"T0_B2.S10","T0_other"
"T0_B3.S18","T0_other"
"T0_B4.S26","T0_other"
"T0_B5.S34","T0_other"
"T0_B6.S42","T0_other"
"T0_B7.S50","T0_other"
"T0_B8.S58","T0_invasion"
"T0_B9.S66","T0_other"
"T0_C10.S75","T0_other"
"T0_C11.S83","T0_other"
"T0_C12.S91","T0_other"
"T0_C1.S3","T0_other"
"T0_C2.S11","T0_other"
"T0_C3.S19","T0_other"
"T0_C4.S27","T0_invasion"
"T0_C5.S35","T0_other"
"T0_C6.S43","T0_other"
"T0_C7.S51","T0_other"
"T0_C8.S59","T0_SMC"
"T0_C9.S67","T0_other"
"T0_D10.S76","T0_other"
"T0_D11.S84","T0_other"
"T0_D12.S92","T0_other"
"T0_D1.S4","T0_invasion"
"T0_D2.S12","T0_other"
"T0_D3.S20","T0_other"
"T0_D4.S28","T0_other"
"T0_D5.S36","T0_other"
"T0_D6.S44","T0_other"
"T0_D7.S52","T0_other"
"T0_D8.S60","T0_other"
"T0_D9.S68","T0_other"
"T0_E10.S77","T0_other"
"T0_E11.S85","T0_other"
"T0_E12.S93","T0_invasion"
"T0_E1.S5","T0_other"
"T0_E2.S13","T0_other"
"T0_E3.S21","T0_SMC"
"T0_E4.S29","T0_other"
"T0_E5.S37","T0_other"
"T0_E6.S45","T0_SMC"
"T0_E7.S53","T0_other"
"T0_E8.S61","T0_SMC"
"T0_E9.S69","T0_other"
"T0_F11.S86","T0_SMC"
"T0_F12.S94","T0_other"
"T0_F1.S6","T0_other"
"T0_F2.S14","T0_other"
"T0_F3.S22","T0_SMC"
"T0_F4.S30","T0_other"
"T0_F5.S38","T0_other"
"T0_F6.S46","T0_other"
"T0_F7.S54","T0_SMC"
"T0_F8.S62","T0_other"
"T0_G10.S79","T0_SMC"
"T0_G11.S87","T0_other"
"T0_G12.S95","T0_other"
"T0_G1.S7","T0_other"
"T0_G2.S15","T0_other"
"T0_G3.S23","T0_other"
"T0_G4.S31","T0_other"
"T0_G5.S39","T0_other"
"T0_G6.S47","T0_other"
"T0_G7.S55","T0_other"
"T0_G8.S63","T0_SMC"
"T0_G9.S71","T0_other"
"T0_H10.S80","T0_other"
"T0_H11.S88","T0_other"
"T0_H12.S96","T0_invasion"
"T0_H1.S8","T0_other"
"T0_H2.S16","T0_other"
"T0_H3.S24","T0_other"
"T0_H4.S32","T0_other"
"T0_H6.S48","T0_invasion"
"T0_H7.S56","T0_other"
"T0_H8.S64","T0_invasion"
"T0_H9.S72","T0_other"
"T0_A10.S361","T0_invasion"
"T0_A1.S289","T0_other"
"T0_A2.S297","T0_other"
"T0_A3.S305","T0_other"
"T0_A4.S313","T0_other"
"T0_A5.S321","T0_other"
"T0_A6.S329","T0_other"
"T0_A8.S345","T0_other"
"T0_A9.S353","T0_other"
"T0_B10.S362","T0_other"
"T0_B11.S370","T0_other"
"T0_B12.S378","T0_other"
"T0_B1.S290","T0_other"
"T0_B2.S298","T0_invasion"
"T0_B3.S306","T0_SMC"
"T0_B4.S314","T0_other"
"T0_B5.S322","T0_invasion"
"T0_B6.S330","T0_other"
"T0_B7.S338","T0_other"
"T0_B8.S346","T0_other"
"T0_B9.S354","T0_invasion"
"T0_C10.S363","T0_other"
"T0_C11.S371","T0_other"
"T0_C1.S291","T0_invasion"
"T0_C2.S299","T0_other"
"T0_C3.S307","T0_invasion"
"T0_C4.S315","T0_other"
"T0_C6.S331","T0_other"
"T0_C7.S339","T0_other"
"T0_C8.S347","T0_other"
"T0_C9.S355","T0_other"
"T0_D10.S364","T0_other"
"T0_D11.S372","T0_other"
"T0_D1.S292","T0_other"
"T0_D2.S300","T0_other"
"T0_D3.S308","T0_other"
"T0_D4.S316","T0_other"
"T0_D5.S324","T0_other"
"T0_D6.S332","T0_other"
"T0_D7.S340","T0_other"
"T0_D8.S348","T0_other"
"T0_E10.S365","T0_other"
"T0_E11.S373","T0_other"
"T0_E1.S293","T0_other"
"T0_E2.S301","T0_SMC"
"T0_E3.S309","T0_other"
"T0_E4.S317","T0_other"
"T0_E5.S325","T0_other"
"T0_E6.S333","T0_invasion"
"T0_E7.S341","T0_other"
"T0_E8.S349","T0_other"
"T0_E9.S357","T0_other"
"T0_F10.S366","T0_other"
"T0_F11.S374","T0_other"
"T0_F1.S294","T0_other"
"T0_F2.S302","T0_other"
"T0_F3.S310","T0_other"
"T0_F4.S318","T0_SMC"
"T0_F5.S326","T0_other"
"T0_F6.S334","T0_invasion"
"T0_F7.S342","T0_other"
"T0_F8.S350","T0_invasion"
"T0_F9.S358","T0_other"
"T0_G10.S367","T0_other"
"T0_G11.S375","T0_other"
"T0_G1.S295","T0_invasion"
"T0_G2.S303","T0_other"
"T0_G3.S311","T0_other"
"T0_G4.S319","T0_other"
"T0_G5.S327","T0_other"
"T0_G6.S335","T0_other"
"T0_G7.S343","T0_other"
"T0_G8.S351","T0_other"
"T0_G9.S359","T0_SMC"
"T0_H10.S368","T0_other"
"T0_H11.S376","T0_other"
"T0_H1.S296","T0_other"
"T0_H4.S320","T0_other"
"T0_H8.S352","T0_other"
"T4_C5.S152","T4_SMC"
"T4_A10.S190","T4_pigmentation"
"T4_A11.S198","T4_SMC"
"T4_A12.S206","T4_other"
"T4_A1.S118","T4_SMC"
"T4_A2.S126","T4_SMC"
"T4_A3.S134","T4_SMC"
"T4_A5.S150","T4_SMC"
"T4_A6.S158","T4_other"
"T4_A7.S166","T4_other"
"T4_A8.S174","T4_other"
"T4_A9.S182","T4_pigmentation"
"T4_B10.S191","T4_SMC"
"T4_B11.S199","T4_SMC"
"T4_B12.S207","T4_other"
"T4_B1.S119","T4_other"
"T4_B3.S135","T4_other"
"T4_B4.S143","T4_other"
"T4_B5.S151","T4_SMC"
"T4_B6.S159","T4_other"
"T4_B8.S175","T4_other"
"T4_B9.S183","T4_other"
"T4_C10.S192","T4_SMC"
"T4_C11.S200","T4_other"
"T4_C12.S208","T4_pigmentation"
"T4_C1.S120","T4_other"
"T4_C2.S128","T4_other"
"T4_C3.S136","T4_other"
"T4_C4.S144","T4_SMC"
"T4_C6.S160","T4_other"
"T4_C7.S168","T4_SMC"
"T4_C8.S176","T4_SMC"
"T4_C9.S184","T4_SMC"
"T4_D10.S193","T4_SMC"
"T4_D11.S201","T4_SMC"
"T4_D12.S209","T4_SMC"
"T4_D2.S129","T4_invasion"
"T4_D3.S137","T4_SMC"
"T4_D4.S145","T4_other"
"T4_D5.S153","T4_SMC"
"T4_D6.S161","T4_SMC"
"T4_D7.S169","T4_SMC"
"T4_D8.S177","T4_other"
"T4_D9.S185","T4_pigmentation"
"T4_E10.S194","T4_pigmentation"
"T4_E11.S202","T4_other"
"T4_E12.S210","T4_SMC"
"T4_E1.S122","T4_SMC"
"T4_E2.S130","T4_SMC"
"T4_E3.S138","T4_other"
"T4_E4.S146","T4_invasion"
"T4_E5.S154","T4_other"
"T4_E6.S162","T4_other"
"T4_E7.S170","T4_other"
"T4_E8.S178","T4_other"
"T4_E9.S186","T4_pigmentation"
"T4_F10.S195","T4_other"
"T4_F11.S203","T4_SMC"
"T4_F12.S211","T4_pigmentation"
"T4_F2.S131","T4_other"
"T4_F3.S139","T4_other"
"T4_F4.S147","T4_other"
"T4_F5.S155","T4_SMC"
"T4_F6.S163","T4_SMC"
