"","T4_other","T4_other.1","T4_other.2","T4_other.3","T4_other.4","T4_other.5","T4_other.6","T4_other.7","T4_other.8","T4_other.9","T4_other.10","T4_other.11","T4_other.12","T4_other.13","T4_other.14","T4_other.15","T4_other.16","T4_other.17","T4_other.18","T4_other.19","T4_other.20","T4_other.21","T4_other.22","T4_other.23","T4_other.24","T4_other.25","T4_other.26","T4_other.27","T4_other.28","T4_other.29","T4_other.30","T4_other.31","T4_other.32","T4_other.33","T4_other.34","T4_other.35","T4_other.36","T4_other.37","T4_other.38","T4_other.39","T4_other.40","T4_other.41","T4_other.42","T4_other.43","T4_other.44","T4_other.45","T4_other.46","T4_other.47","T4_other.48","T4_other.49","T4_other.50","T4_other.51","T4_other.52","T4_other.53","T4_other.54","T4_other.55","T4_other.56","T4_other.57","T4_other.58","T4_invasion","T4_invasion.1","T4_invasion.2","T4_invasion.3","T4_invasion.4","T4_invasion.5","T4_NCSC","T4_NCSC.1","T4_NCSC.2","T4_NCSC.3","T4_pigmentation","T4_pigmentation.1","T4_pigmentation.2","T4_pigmentation.3","T4_pigmentation.4","T4_pigmentation.5","T4_pigmentation.6","T4_SMC","T4_SMC.1","T4_SMC.2","T4_SMC.3","T4_SMC.4","T4_SMC.5","T4_SMC.6","T4_SMC.7","T4_SMC.8","T4_SMC.9","T4_SMC.10","T4_SMC.11","T4_SMC.12","T4_SMC.13","T4_SMC.14","T4_SMC.15","T4_SMC.16","T4_SMC.17","T4_SMC.18","T4_SMC.19","T4_SMC.20","T4_SMC.21","T4_SMC.22","T4_SMC.23","T4_SMC.24","T4_SMC.25","T4_SMC.26","T4_SMC.27","T4_SMC.28","T4_SMC.29","T4_SMC.30","T4_SMC.31","T4_SMC.32","T4_SMC.33","T4_SMC.34","T4_SMC.35","T4_SMC.36","T4_SMC.37","T4_SMC.38","T4_SMC.39","T4_SMC.40","T4_SMC.41","T4_SMC.42","T4_SMC.43","T4_SMC.44","T4_SMC.45","T4_SMC.46","T4_SMC.47","T4_SMC.48","T4_SMC.49","T4_SMC.50","T4_SMC.51","T4_SMC.52","T4_SMC.53","T4_SMC.54","T4_SMC.55","T4_SMC.56","T4_SMC.57","T4_SMC.58","T4_SMC.59","T4_SMC.60","T4_SMC.61","T4_SMC.62","T4_SMC.63","T4_SMC.64","T4_SMC.65","T4_SMC.66","T4_SMC.67","T4_SMC.68","T4_SMC.69","T4_SMC.70","T4_SMC.71","T4_SMC.72","T4_SMC.73","T4_SMC.74","T4_SMC.75","T4_SMC.76","T4_SMC.77","T4_SMC.78"
"CD36",2.1453017035129,3.88502130287733,0.852046109344187,0,2.8458895728978,1.64474431287592,0,0.918411314905727,2.070162929131,0,1.13207110892636,0,0.646640252886625,4.04391427498132,0,3.15984406029259,0.0761485297953519,2.68618335566102,0,0,2.87290442370266,0,0.100795595198843,2.15769016092121,0.375267253727302,1.80620581129333,2.5278372837845,1.27191886121358,0.277459625863203,3.47387856781146,2.00086915138166,1.74127773763286,2.81805278274574,0.0632285857510256,3.10126320531728,0,2.57827806967179,0,0.799441179708382,3.3701845325261,1.64978971714458,1.37034957878068,1.69619663646322,0,0.0276388184018525,2.05521424634451,2.88104889480055,3.08014265724703,0,3.19479695844695,2.25408494719482,0.963405938767603,2.55671244328191,2.29950800204263,3.72719883160574,0,3.06717433930877,2.99929081456924,0,2.76213129387891,2.72439858545833,3.86426860231364,0.0841910182666527,0,0,1.81002877590906,0.655079337353055,0,0,2.63999973416484,2.82582065749023,3.57835969083267,0.0146699673588938,0.618959404100218,0.00582962860733989,0,3.15790783559598,1.97381517757421,1.67271269339497,3.5663583268198,2.6074591955426,3.75901892750187,3.87740074182907,2.35709932251803,2.30082465059021,3.89815643458437,3.86176970630508,3.22409747671439,3.94532033167806,3.44928322539068,3.28911340940343,1.47113403670852,3.03950266424493,2.12707878425156,1.41951053351414,4.62622243870487,3.94963087659803,3.2862411257761,3.40317470503874,4.36108929430924,2.07608304166823,2.01829344078528,3.5535666288883,4.41375388470438,3.0970175733559,2.61652485835139,2.93367478995827,2.42590437971539,2.98336415672471,2.83794363506341,2.55234514250601,3.76678830486579,4.16070289209234,1.69058659401494,2.41245625653503,3.87124110081572,2.15912048070622,1.47415602718415,3.36764541778475,2.78484311237302,2.82335018785188,1.92783658013598,0.286798051403476,3.49071862960937,0.237085729181678,0,3.59593799354828,2.01108512852937,2.15870464721188,3.03952005152692,3.16928321334259,2.99612804052116,2.80917376545505,2.6833792729347,2.27703947948374,1.82262283195278,1.58744133806451,3.11607422156301,2.97330623615855,1.33970381531173,3.7888251223423,3.91032916041275,2.75477889195444,1.92720165731312,2.53008654866093,2.22460905841158,3.14959977606203,3.37919064405178,3.1657507976531,2.67745409775223,3.95829361559157,3.36858519244766,1.61782640617842,1.78767587195181,1.79343572281059
"ABCD3",0,0,0.960624011754485,0,0,1.08043198116255,0.0138194751277417,0,0,0,1.62852469045813,0.011818764199944,0.612852760578414,0.494208032059692,0.324830793065902,0.915030046281201,0,0,0,0.977953876892245,0,0,0,0.762333901016489,0,0,0.154018782422102,0,1.06010002637577,0.957425538051932,1.16865824627124,0,0,0,0.0852008837972612,0.20659038327744,0,1.51433131211505,0,1.0599517246669,0.109344232290907,0,0.0682988161909522,0.0194754190483531,0.683526543441267,0.368659578043355,0.594004729846918,0.267241538274677,1.5882555676977,0.393785035998057,0,0,0.07148489932164,0,0,0,0,1.50180865445098,0,0,0.356073311132277,0.602259990160838,0,0,1.04426737006234,0.0795162274332394,0,0.130792407624189,0.0682554449213795,0,0.0706428534306376,0,0,0.985876708300798,0,0,0,0.910037456634529,0,0,0.934425567087981,1.22415355125593,0,1.33848132309206,1.41671435140539,0.414138424065027,1.51982220691706,0,0.0697047153455178,0.0610675411508828,1.56039644602013,0.204377197737045,0.997927821608261,1.02457272779337,0,0,1.00216545315583,1.97969333182115,0.0569354311608725,0.941142455329571,0.035076424659291,0,0,0.181681374376575,1.22588372274699,0,0.715920192185061,0,0.0307783836210939,0.988342257500184,0.378595499509648,0,0,0.0340994822840762,0.432806062323614,0,0.332185226445398,0.751079995370257,0,0,0,0,0,0,0,0.282547115400448,0,0.942028943304482,0,0.363173320964559,0,0.910374973098722,1.27605744601944,0,2.08597926318582,0,1.08724427014909,1.143684227902,0,0,0.556879150079843,0,1.58603501674299,0.117105707782061,1.00139582212951,0.276680390573232,0,0,0,1.19625732977392,0,0,0,1.19575340034077,0
"SCP2",1.75648545977668,0,0.650960638516085,1.00675130119158,1.02163481325105,1.36581809800325,0,0.945974328487227,0.699913099115826,0,0.320121749019705,0.662286685709007,0,1.51490488800228,0.590086796439489,0.565944466800977,0,0.314753874514067,0.864249041367689,0,0.764303885062866,1.53292946929688,0,0,0,0,1.14618422944595,0.033227230168518,0.780773131932217,0.738913681558024,0.827538535017836,0.543124122298241,1.14806472384733,1.07345663916924,0,0,1.41658269510029,1.19260273997497,0,0.61916582852844,0,1.67268077999517,0,0.990025086879045,0.0545342332669039,1.34465938846831,0.135284134898422,1.25889983388636,0.942562070911097,1.4101492159327,0,1.46238510064502,1.46662630949728,1.19585555521652,0.541160343719443,1.66710450547142,0.0326036459027745,1.27393947884075,0,1.14809732392794,0.491149697448162,1.74064665206806,0.676104463489237,0,0.538817989869827,0.254387111795181,0.414790109323961,0.759782339054434,0,1.28650368255234,0.787827660475993,1.10423376919219,0.826669983377272,0.165870245832475,0.960757848148824,0.38035421001057,0.954131872792822,1.00018950245686,1.81115042401539,0,1.56873284687957,0,1.53545109281419,2.22193608170807,1.90211303124619,1.02561125894677,1.67014430307566,0.93207310863558,1.48656464078699,1.01638210671713,1.87147722887665,1.14574368437168,0.997927821608261,1.07157738627466,0,1.07275200402916,0.967491075672517,0,1.11532549990214,1.44129986777747,1.47693272625492,0.00810357505345411,1.77694320374402,0.434743961990633,0,1.33227711666546,0.0897291352693889,0.0292029068397272,0.446366992163364,0.891745082968782,0.451513734831118,0.69329984709179,1.52649982823298,1.52012922362129,0.0201056655103989,1.31914731211185,1.41407662392903,0.189529466732639,1.20078991846316,1.287753580253,1.00468663768249,1.34175904310273,0.038332893756013,1.27335760451868,0.81688114648754,1.10414496695122,0.528746136487392,0,1.46582074553835,1.3930510858904,2.09401455295064,1.4596083726745,0,0,0,0.230638094727995,0.855132614916801,0.955548145843396,0.570904911759389,0.679479580302127,1.94563747135866,1.50815970390372,0.80187466684357,1.23041398020166,1.9298385745486,0,0.442320070365429,1.58387134480635,0.0339771220709228,1.65005399370646,1.45842643549709,1.32450937633405,1.72539748864891,0.957128226924732,0
"PEX1",0,0,0.767621699335243,0,0.21271411356326,0,1.00265566853636,0,0,0,0,0,0.89104334130007,0,0,0,0,0.560417899848685,0,0,0,0.540903899069973,0,0,0.141320240196062,0,0,0.869283905387105,0.795314147342979,0,0.782772052461384,0,0,0,1.02198890937397,0.329385794848683,1.36386404570612,1.76008720446607,0,0.0188736125336181,0,0,0.663960007373422,0,1.09518184024445,0,0,0.230495864394532,0,0.0199080879399915,0,0,1.33916957028403,0,0,0,0,0,0,0.700813726638629,0.947056794959016,0.0280927608611932,0,0,0,0,0,1.76655572586359,0.111300980285343,0,0,0.26334951005812,0,0.38770995368317,0.710425915178208,0,0,0,0.487385741541758,0.164911088243894,0,0,0,0.832621744744882,0,0.772327863647511,0,0,1.28861862892442,0,0,0,1.06374759224067,0.0159611730866878,0,0.936177283357292,0,0,0,0,0,1.11260097912301,0,0.657390180544663,0,0,0.815650951738793,0.0575771461931407,0,0.580629168851059,0,1.3042787120674,0,0,0,0,1.55252978016222,0,0,0,0,1.06981120516107,0,0.275680519136764,0.653137538446194,0,0,0.0584568711645219,0,0.962514118607075,0.0475985720685477,0,0,0,0,0.753339369937209,0,0,0,0.712922312439899,0,0.813245667722023,0,0.520762362122635,0,0,0.036416386667454,0.107898724115058,0,0.385916642427239,0.932333448112464,0,0,0.0840930221696291,0
"PEX2",1.14853448942062,0.732750907608591,1.11198375151388,0,0,0.868818560799388,0.105551416798052,0,0,0,0.498829262470556,0,0,0.0465986765810616,0,0,1.43614947899266,0,1.03106064715186,0,0,0.948393039877735,0,0,0,0,0,0,0,1.10891987137081,0.961934897231098,0,0.804070404727648,0,0,0,0,0,0,0.76228636719169,0,0.0757216817905181,0,1.6503089299108,0,0.924162404369923,1.80338680384658,0,1.26422537011605,0,0,0.673127953700021,0.665158948172408,0,0.629970157758968,0,0.302696536519764,0,0.96837543067049,0.95564455779673,0,0.537824117942681,1.3681021368585,0,0,0,0.719695869371724,0,0,0,0.736598496316983,0.0329276037002165,0,0,0.313597741298571,1.03648618857351,1.01332226277179,1.17947489490098,0.911769233100156,0.987796050071045,0,0,0,0.0910870380255349,0.275849174687604,1.13389348405121,0.786416713083221,0.20157277898794,0.0697047153455178,0,1.12518864050283,0.882632592622935,0.724174407334899,0.675672372556611,0,0,0,0,0,0.605211188090335,0,0,0,0,0,0,0,0,0.117807693601201,0,0,1.14454263633759,0,0,0.710872375359005,0.14394041569603,0.524444054476305,0,1.78897799389875,0.784215673139133,0,0.695090794109595,0,0.168707192815476,0,0,0,1.18095150598714,0.667543673633829,0,0,1.27256294062666,1.5468179752577,0,0,0.159509650427493,0,0,0,0,0.779986249041179,0,0,1.25727416313705,0.970306201731891,0,0.656062802378821,0,0,0,1.10711110587188,0,0.629031196126152,0.602767912055172,1.53151305683243
"PEX3",0.356177645616402,0.106986357072797,0,0,0.0941849068904799,0,0,0,0,0,0,0,0.635504119129289,0,0,0,0,0.820487601876493,0,0,0.703097048542143,0.919620219897265,0.328477483284181,0.0288932229080231,0,0,0,1.40474146246897,0,0.883907005240573,0,0,0,0,0,0,0,0,0,1.21270044038265,0.724173778876317,0.253423266739565,0,0,0.106247652056987,0,0,0,0,0,0,0,0,0.79047608768344,0,0,0,1.2308088059798,0,0.0325742602053285,0,0.250689328510591,0,0,0,1.05878327464691,0.480488165218829,0,0,0,0,0.0569307530535356,0,1.7891060342978,0.744323827397934,0,0,0.3665305250352,0,0,0.917572740997161,0,0,0.94527134799711,0.997603690435573,0,0.806884025041128,0,0.820031331702023,0,0,0.29277497885202,0,0,0,0,0,0.117614527360072,0.301233391082915,0.397105268776287,0.035076424659291,1.11793570502068,0,0,0,0,0.974397250854398,0,0,0,0.603451141024504,0,0,1.11401457760311,0.652679954907069,0,0,0,0,0,0,0.617974402830782,0,0,0,0,0,0,0.544734996246374,0,1.1535284183983,0.651206726174914,0,0,0,0.359308740068457,0,0.595861769955349,0,0,0.646475686495291,0,0,0,0,0,0,0.375514156122296,0,0,0.57452117740345,0,0,0.861235655687716,0
"PEX13",0,0,0.608839715289934,0,0.414469155745361,0.584907753971416,0,0,1.6927495820649,0,0.320121749019705,0,0,0,0,0,1.16179330292117,0.547129082741821,0,0,0,0,0,0,0,0,0,0,0,0,0.8085977497955,0.918480688715298,0,0,0,0.0114086162223456,0,0,0,0,0,0,1.05950362883838,0,0,0,0,0,0,0,0,0,0.878770234455663,0,0,0,0,0,0,0,0,0,0,1.15174998720843,0,0.928661063759612,0,0,0,0,0,0,0,0.562758527727195,0,0,1.11782280881,0,0,0,0,0,1.12403432434661,0,0,0,0,0,0.0561470607099147,0,0,1.0933172878417,0,0.411773421682172,0,0,0.957359194618062,0,0,0,0,0,0,0,1.45286304614485,0,0.194396833662887,0,0,0,0,0,0,0,0,0,0.476679483609207,0.853112061203613,0,0,0,0,0,0,0,0,0.232143950234791,0,0,0,0,0,0,0,0.033343979636429,0,0,0,0,0.679479580302127,0,0,0,1.21670840175045,1.05115584570165,0,0,0,0,0,0,0.547627883624724,0,0,0
"AGPS",0,0,0.490221085740351,0.274416636673039,0.259505326130043,0,0.860232306799666,0,0,0.460780912354821,0.320121749019705,0.966518643137038,1.08729091023018,0.206173976126932,0.448880029880156,0,0.885506190936362,0,0,0,0,0,0,0,0,0,0.838805163698435,0.212283140793393,0,0,0,0,0.0763010178737097,0.0632285857510256,0,0,0,0.399308636431036,0,0.577268567478503,0.411051927241718,0.211869811270593,0,0,0,0.874708570080502,0,0.0232924540781132,0.701184636169613,0,0,0,0.0183559762320817,0,0.316485153901601,1.25687700556461,0,0.21931972663007,0,0,0,0.335668465122658,0,0,0,0.0405482593877873,0,0,0,0,0,0,0.247472304160223,0,0,1.24519160688201,0.590452304058065,0,0.246184327622482,0,0.215982274836625,1.11603040778158,0,0,1.47893215923075,0.414138424065027,0,0,0,0,0.309473823678621,0.997005588441765,0.527045675441129,0,0.420364224536616,0.317143542604272,1.09951022453664,0.197553523505211,0.630639580443399,0.613008997128784,0,0.381022390384947,0,0,0,0,0.911734798985968,0.112018874161218,0.628712218704999,0.0222411783371245,0.243839388177628,0,0,0.0340994822840762,0,1.09765093977314,0,0.116280882185726,0,0,0.0148126059544758,0,0,0.0489044790540824,1.07578844861397,0,0.330707021491297,0,0,0,0.0240824623115339,0,1.07302316798319,0,0.497263853628028,0,0.0401435456206069,0.244028039202942,0,0,0.374594044310036,0.220932690085894,0,0,0.130042966441754,0,0,0,0.659148376826877,1.3293737086749,0.310334426896834,0.189237210488061,1.5699335100894,0,0.687006820021727
"FAR1",1.333779189727,0.0625288625375153,0,0,0.318671165418009,1.55628204100167,1.51478176540714,0,0,0,1.18288377505201,0,0,0.577906855517184,0,0,0,0,0,0,0,0,0.302695151622177,0,1.13946889149369,0,0,0,0,0.107622258077781,0,0,0,0,0.68223472426889,0,0.842992011634382,1.22567719374379,0,0.779910204633089,0.188952295078963,0,0.433028300458215,0.227662866527051,0.777957512833857,0.249737140887657,0,0,0.95349972438492,0,0.124158151170763,0,0,0,0,0,0.824811547202872,0,0,0,0,0,0,0,0,1.98933747607044,0.732132835161927,0,0,1.1715811912768,0,0.783165173864021,0.366961939304727,0,0,0,0,0,1.16621528968987,0,1.64547156399101,0.368385957849846,0,0.723156500953573,0.377632344230182,1.14277787470321,1.59012065543737,0,0,0.365195004457631,0.556471243991513,0.813873770076506,0.610614766096207,1.35720941260397,0.218799693493029,0.222182914282695,1.76942477893545,0.796110649250143,0,0,0,0,0,0.615216259327553,0.0387031730648241,0.0121611173055123,1.28513929058192,1.26651945395173,0.0307783836210939,0.446132806874643,0,0,0.28024086745058,1.36005539731185,0.201634361527363,0.130443677401696,0.0195090073464582,0,0,0,0,0,0.194681463062122,0.937551574744645,0,0,0,0,1.56142079482188,0.427277124480463,1.43343961612026,0,1.31758682466214,0,0,0,0.32867174392619,0,0.509031550527048,0.451261475769253,0,0,0,0,0.405437332259263,0,0,0.65972812509108,1.00358592908585,0,0,0,1.47054135000485,0.406341189433472,0
"ATG12",0,1.35360862006663,0.274854072493216,0.100075439150018,0,0,0,0.161298536312496,0,0,0.195235637789951,0.961985794490291,1.36007499995771,0.624957483422331,1.71063141467702,0.401940035678411,0.440742099264251,0,0.430820207831726,0,0.393167282303986,0,0,0,0,0,0.0540186295134244,0,0,0.92978508469413,0.367094608561068,0.172427026496807,0,0,0,0,0.353089505240792,0.738317322596755,0,0.174397283936112,1.0866365152585,0.924578244523396,1.02628948689545,0.997305873677319,0,0.296005994898726,1.31463890199447,0.0232924540781132,0,0.974114708345668,0,0.854630523897152,0.738600106595879,0,0.449359492000683,0.486095240983468,1.48966598872358,0,0,0.980792002882485,0.356073311132277,0.228266210811357,0.981665181827566,0.95249716265613,0,0.49555822166554,0,1.64325426439765,0.0232733173422033,0.36990816897365,0,0.237287637432839,0,1.894526471052,1.20381727123596,0.433466837980281,1.19660538617949,0.584610822956153,0.413266668823682,1.21390483340791,0.689482433326038,0.0564707125270379,0,0.606738151358129,0.90207632817927,0.9480992977172,0.044398926906024,0.519822882752214,1.62933446924262,0,1.02078036946575,0.490443651370016,1.22787218927108,0,0.72622730369017,1.03947125057556,0.563029504208135,1.07655816927182,0,0,0.133477396642971,0.672998936479837,1.55758286185714,0.691225402493827,0,0,0,0,0,0.0439984302404022,0.378595499509648,1.11044505333041,0,0,0,0,0.953873443023198,0.335321934112906,0.699904064336114,0.540563118905325,0,0.947866453174295,0.784746331297308,1.04887616271063,0.81688114648754,1.03836063642365,0.448622149737826,1.53515719979382,0.888800546208645,0,1.00452497515131,0.0488518293257457,0,0,1.77772604410178,0.359308740068457,0,0,0.921552318841901,0.791940740368832,1.66228994954588,0.294408088783186,1.46285808715649,0,0,0,0,0,0.896724307602207,0,0.0357417026788903,0.557617817017899,0.99364368192978,1.15315920580168,1.89791440623647
